id,transformers,date_id,month,is_weekend,time,L1,L2,L3,L4,L5,L6
M1_D00000_00_00,M1,D00000,3,1,0:00,13.0278,8.4753,4.3406,1.7753,-0.2663,1.3254
M1_D00000_00_30,M1,D00000,3,1,0:30,12.3578,8.1378,4.0206,0.972,-0.5864,1.2338
M1_D00000_01_00,M1,D00000,3,1,1:00,13.8315,9.8085,3.9294,2.3443,0.3556,1.2182
M1_D00000_01_30,M1,D00000,3,1,1:30,13.8988,9.7902,3.9297,1.3737,-0.2842,1.1729
M1_D00000_02_00,M1,D00000,3,1,2:00,13.8315,9.8256,3.9751,1.9085,0.1776,1.1579
M1_D00000_02_30,M1,D00000,3,1,2:30,12.3912,8.0487,4.0365,1.3399,-0.3902,1.2797
M1_D00000_03_00,M1,D00000,3,1,3:00,13.3293,9.701,3.9291,1.7084,0.1954,1.2183
M1_D00000_03_30,M1,D00000,3,1,3:30,12.5254,7.8004,4.1125,0.9717,-0.675,1.3408
M1_D00000_04_00,M1,D00000,3,1,4:00,12.6257,8.7417,4.1426,1.7081,-0.4259,1.3104
M1_D00000_04_30,M1,D00000,3,1,4:30,13.0948,8.8129,4.1884,1.6415,0.0888,1.2184
M1_D00000_05_00,M1,D00000,3,1,5:00,12.8942,8.5642,4.4779,1.474,0.0,1.3556
M1_D00000_05_30,M1,D00000,3,1,5:30,13.2289,8.6533,4.7058,1.3736,-0.4087,1.4018
M1_D00000_06_00,M1,D00000,3,1,6:00,14.6355,9.6838,5.1479,1.8419999999999999,-0.6925,1.3557
M1_D00000_06_30,M1,D00000,3,1,6:30,14.2671,8.3865,5.7568,1.9087,-0.3016,1.4923
M1_D00000_07_00,M1,D00000,3,1,7:00,11.5879,5.597,5.5742,2.0761,-0.3017,1.6754
M1_D00000_07_30,M1,D00000,3,1,7:30,8.4064,2.6477,5.5589,2.1767,0.3377,1.7366
M1_D00000_08_00,M1,D00000,3,1,8:00,1.3063,-1.6879,2.7873,1.8757,0.6041,1.1275
M1_D00000_08_30,M1,D00000,3,1,8:30,-2.1098,-4.8149,2.8789,2.344,0.8354,1.2792
M1_D00000_09_00,M1,D00000,3,1,9:00,-7.0329999999999995,-9.8075,2.7568,2.2771,0.3735,1.4926
M1_D00000_09_30,M1,D00000,3,1,9:30,-9.1425,-12.419,2.8326,2.1434,0.6045,1.2641
M1_D00000_10_00,M1,D00000,3,1,10:00,-11.0175,-14.6584,2.9091,2.6793,0.6224,1.234
M1_D00000_10_30,M1,D00000,3,1,10:30,-11.5203,-15.6354,3.8072,3.5837,1.8840000000000001,1.2487
M1_D00000_11_00,M1,D00000,3,1,11:00,-13.7309,-17.2695,3.5789999999999997,3.6843,2.097,1.2339
M1_D00000_11_30,M1,D00000,3,1,11:30,-16.1082,-19.2064,3.1527,3.4497,0.7462,1.1573
M1_D00000_12_00,M1,D00000,3,1,12:00,-16.4435,-20.0412,2.6807,3.5503,1.8121,1.021
M1_D00000_12_30,M1,D00000,3,1,12:30,-15.6728,-19.3844,2.8636,3.4831,1.9368,1.2492
M1_D00000_13_00,M1,D00000,3,1,13:00,-15.6391,-18.5313,2.4975,4.4548,2.2035,1.0664
M1_D00000_13_30,M1,D00000,3,1,13:30,-14.5013,-17.5724,2.5438,3.5502,1.564,1.1429
M1_D00000_14_00,M1,D00000,3,1,14:00,-13.4961,-16.7724,2.9699,3.7512,1.7418,1.2948
M1_D00000_14_30,M1,D00000,3,1,14:30,-11.6208,-14.6937,2.8327,2.6460000000000004,0.9954,1.2489
M1_D00000_15_00,M1,D00000,3,1,15:00,-9.9461,-12.952,2.7113,1.641,0.4448,1.3559
M1_D00000_15_30,M1,D00000,3,1,15:30,-7.3341,-10.3046,2.8938,1.6076,0.1248,1.2948
M1_D00000_16_00,M1,D00000,3,1,16:00,-3.985,-7.053,3.1835,1.1393,-0.2133,1.2181
M1_D00000_16_30,M1,D00000,3,1,16:30,-0.1667,-3.2515,3.2442,0.3352,-0.8706,1.325
M1_D00000_17_00,M1,D00000,3,1,17:00,2.9807,-0.1953,3.2293,-0.2007,-1.5812,1.1275
M1_D00000_17_30,M1,D00000,3,1,17:30,5.9945,2.3812,3.3203,-0.6364,-2.1851,1.1116
M1_D00000_18_00,M1,D00000,3,1,18:00,6.732,3.6424,3.1835,-1.0047,-2.3982,1.0208
