id,transformers,date_id,month,is_weekend,time,L1,L2,L3,L4,L5,L6
M1_D00002_00_00,M1,D00002,5,0,0:00,14.5017,9.7903,4.4622,5.5257,2.8609,1.3864
M1_D00002_00_30,M1,D00002,5,0,0:30,14.9038,10.305,4.4771,5.7268,3.4292,1.3706
M1_D00002_01_00,M1,D00002,5,0,1:00,15.5391,11.1052,4.4623,6.0284,3.5363,1.3861
M1_D00002_01_30,M1,D00002,5,0,1:30,15.0372,10.1807,4.4017,6.2629,3.7489,1.3865
M1_D00002_02_00,M1,D00002,5,0,2:00,13.3964,9.0974,4.4472,5.3921,3.287,1.4169999999999998
M1_D00002_02_30,M1,D00002,5,0,2:30,15.3724,10.5186,4.4018,6.0954,3.6775,1.4012
M1_D00002_03_00,M1,D00002,5,0,3:00,14.7357,10.2698,4.3713,5.8273,3.4648,1.3252
M1_D00002_03_30,M1,D00002,5,0,3:30,14.8698,10.4297,4.4777,5.8274,3.447,1.462
M1_D00002_04_00,M1,D00002,5,0,4:00,14.3007,9.5774,4.6304,5.4254,3.3938,1.4471
M1_D00002_04_30,M1,D00002,5,0,4:30,15.1044,9.7728,4.9341,5.5258,2.8425,1.4773
M1_D00002_05_00,M1,D00002,5,0,5:00,14.7357,9.2214,5.4676,4.957,2.8607,1.5232
M1_D00002_05_30,M1,D00002,5,0,5:30,15.2379,9.808,5.574,5.2584,2.7541,1.5232
M1_D00002_06_00,M1,D00002,5,0,6:00,12.9942,7.8893,5.1783,4.4548,1.902,1.5687
M1_D00002_06_30,M1,D00002,5,0,6:30,11.8887,6.4497,5.1179,4.4213,1.9724,1.6754
M1_D00002_07_00,M1,D00002,5,0,7:00,11.7546,6.7697,5.3,4.6558,2.3988,1.7669
M1_D00002_07_30,M1,D00002,5,0,7:30,11.3533,5.7038,5.3764,4.9905,2.6656,1.9036
M1_D00002_08_00,M1,D00002,5,0,8:00,6.4972,3.6253,2.8329,4.0861,2.1321,1.4012
M1_D00002_08_30,M1,D00002,5,0,8:30,6.6313,3.5002,2.7107,4.4881,2.8968,1.4469
M1_D00002_09_00,M1,D00002,5,0,9:00,2.4453,-0.622,2.8789,3.1484,1.4219,1.508
M1_D00002_09_30,M1,D00002,5,0,9:30,5.4924,2.1502,2.94,3.1147,1.4392,1.5687
M1_D00002_10_00,M1,D00002,5,0,10:00,6.5642,3.0208,3.2445,3.7514,1.8655,1.5227
M1_D00002_10_30,M1,D00002,5,0,10:30,4.8897,1.6347,3.5639999999999996,4.1868,2.0966,1.5838
M1_D00002_11_00,M1,D00002,5,0,11:00,3.6507,0.7109,3.275,3.6842,2.1319999999999997,1.5532
M1_D00002_11_30,M1,D00002,5,0,11:30,2.1104,-0.5328,2.8332,3.048,1.1193,1.5381
M1_D00002_12_00,M1,D00002,5,0,12:00,-1.1389,-4.2642,2.6801,2.4782,0.8528,1.4623
M1_D00002_12_30,M1,D00002,5,0,12:30,0.5362,-2.4871,2.6192,2.9139,0.9955,1.4015
M1_D00002_13_00,M1,D00002,5,0,13:00,4.3877,1.8482,2.5132,3.4163,1.9191,1.3557
M1_D00002_13_30,M1,D00002,5,0,13:30,0.636,-1.9718,2.4978,3.4164,1.7059,1.3706
M1_D00002_14_00,M1,D00002,5,0,14:00,2.2102,-0.9237,2.7108,3.6508,1.7411,1.4929
M1_D00002_14_30,M1,D00002,5,0,14:30,2.2103,-1.244,2.7567,3.7513,1.3154,1.4779
M1_D00002_15_00,M1,D00002,5,0,15:00,1.9761,-1.6522,2.6653,3.215,1.4574,1.4923
M1_D00002_15_30,M1,D00002,5,0,15:30,3.6175,1.0490000000000002,2.5286,3.2486,1.6702,1.3707
M1_D00002_16_00,M1,D00002,5,0,16:00,4.8229,2.6472,2.5743,2.9808,1.5818,1.2795
M1_D00002_16_30,M1,D00002,5,0,16:30,6.3298,3.5003,2.9399,3.1819,1.5642,1.3864
M1_D00002_17_00,M1,D00002,5,0,17:00,7.8709,4.8329,3.0768,2.9472,1.3146,1.2795
M1_D00002_17_30,M1,D00002,5,0,17:30,7.9378,4.8506,3.0767,2.7464,1.3683,1.2641
M1_D00002_18_00,M1,D00002,5,0,18:00,7.3684,4.4598,2.7874,2.6123,1.1024,1.1421
M1_D00002_18_30,M1,D00002,5,0,18:30,7.4352,4.6558,2.7568,2.5786,1.0843,1.1882
M1_D00002_19_00,M1,D00002,5,0,19:00,7.9713,5.0816,2.8485,2.713,1.0311,1.1882
M1_D00002_19_30,M1,D00002,5,0,19:30,8.4728,5.3838,3.1831,2.5788,1.1021,1.1726
M1_D00002_20_00,M1,D00002,5,0,20:00,8.5064,5.3661,3.1373,2.6123,1.0842,1.3863
M1_D00002_20_30,M1,D00002,5,0,20:30,8.5399,5.5973,2.9094,2.947,1.1726,1.31
M1_D00002_21_00,M1,D00002,5,0,21:00,9.913,7.4806,2.7871,3.148,1.2081,1.34
M1_D00002_21_30,M1,D00002,5,0,21:30,10.8177,8.2976,2.4218,3.5837,1.8662,1.1879
M1_D00002_22_00,M1,D00002,5,0,22:00,10.7506,7.9596,2.2544,3.6507,1.7948,1.0818
M1_D00002_22_30,M1,D00002,5,0,22:30,10.4829,8.3507,2.1782,3.5504,1.9901,1.0966
M1_D00002_23_00,M1,D00002,5,0,23:00,15.4385,10.8206,4.4167,6.397,3.8557,0.6859
M1_D00002_23_30,M1,D00002,5,0,23:30,14.6016,9.7368,4.4774,5.3923,2.7542,1.4475
M1_D00009_00_00,M1,D00009,10,0,0:00,11.923,10.5361,1.538,3.9858,2.5943,0.6706
M1_D00009_00_30,M1,D00009,10,0,0:30,11.8893,10.0566,1.432,3.852,2.2030000000000003,0.6859999999999999
M1_D00009_01_00,M1,D00009,10,0,1:00,11.8885,10.5896,1.3099,4.086,2.8425,0.5792
M1_D00009_01_30,M1,D00009,10,0,1:30,10.3154,8.8307,1.3103,4.1862,2.6123,0.6858
M1_D00009_02_00,M1,D00009,10,0,2:00,11.0857,9.6476,1.295,5.1913,4.0695,0.6551
M1_D00009_02_30,M1,D00009,10,0,2:30,9.8464,8.742,1.3097,5.0907,3.873,0.6708
M1_D00009_03_00,M1,D00009,10,0,3:00,11.1191,9.932,1.2493,5.7265,4.1222,0.6246
M1_D00009_03_30,M1,D00009,10,0,3:30,10.482999999999999,9.079,1.2792,4.9566,3.6604,0.6404
M1_D00009_04_00,M1,D00009,10,0,4:00,10.8176,9.79,1.2948,5.4588,4.14,0.5794
M1_D00009_04_30,M1,D00009,10,0,4:30,9.9802,8.1733,1.4473,4.6557,3.1092,0.6555
M1_D00009_05_00,M1,D00009,10,0,5:00,9.4777,7.4447,1.66,3.9525,2.5411,0.6858
M1_D00009_05_30,M1,D00009,10,0,5:30,10.5497,8.3508,1.9955,4.3542,2.6835,0.7161
M1_D00009_06_00,M1,D00009,10,0,6:00,11.6547,9.5766,2.4679,4.2536,3.2519,0.8532
M1_D00009_06_30,M1,D00009,10,0,6:30,12.1231,9.3631,2.7262,5.3582,3.6249,0.9903
M1_D00009_07_00,M1,D00009,10,0,7:00,11.2526,8.6176,2.5744,5.0235,3.4473,0.9752
M1_D00009_07_30,M1,D00009,10,0,7:30,11.3537,8.7235,2.6652,5.5929,3.7494,1.188
M1_D00009_08_00,M1,D00009,10,0,8:00,10.9517,8.4395,2.4524,5.626,3.7132,1.1122
M1_D00009_08_30,M1,D00009,10,0,8:30,9.1091,6.734,2.4827,4.555,3.181,1.1876
M1_D00009_09_00,M1,D00009,10,0,9:00,7.4018,5.2062,2.3911,3.8853,2.3101,1.0811
M1_D00009_09_30,M1,D00009,10,0,9:30,8.2729,5.7036,2.4217,4.354,2.967,1.0818
M1_D00009_10_00,M1,D00009,10,0,10:00,8.8748,5.7038,2.6346,3.852,2.3097,0.9597
M1_D00009_10_30,M1,D00009,10,0,10:30,9.1091,6.2548,2.9702,4.0193,2.5232,0.9753
M1_D00009_11_00,M1,D00009,10,0,11:00,8.4063,5.3485,2.7411,3.9186,2.2035,0.9751
M1_D00009_11_30,M1,D00009,10,0,11:30,6.4301,4.1756,2.3609,2.9139,1.7065,0.9902
M1_D00009_12_00,M1,D00009,10,0,12:00,5.9276,3.7312,2.1783,2.3775,1.4569999999999999,0.8835
M1_D00009_12_30,M1,D00009,10,0,12:30,6.4301,3.9629,2.2996,3.2825,1.6706,0.9902
M1_D00009_13_00,M1,D00009,10,0,13:00,6.3968,4.1045,2.0562,3.5167,2.0084,1.0054
M1_D00009_13_30,M1,D00009,10,0,13:30,6.4639999999999995,4.069,2.1477,3.4165,1.9903,1.021
M1_D00009_14_00,M1,D00009,10,0,14:00,6.5642,4.3175,2.0715,3.6172,2.0075,0.9903
M1_D00009_14_30,M1,D00009,10,0,14:30,6.196000000000001,4.1222,2.0259,3.6174,2.0975,1.0669
M1_D00009_15_00,M1,D00009,10,0,15:00,6.3298,4.0511,2.0259,3.4163,1.9013,1.0208
M1_D00009_15_30,M1,D00009,10,0,15:30,6.2628,4.1223,2.1784,2.9473,1.7766,1.0205
M1_D00009_16_00,M1,D00009,10,0,16:00,6.8656,4.4244,2.2848,2.8469,1.7239,0.9904
M1_D00009_16_30,M1,D00009,10,0,16:30,7.7032,4.9933,2.6807,2.8802,1.6882,0.9142
M1_D00009_17_00,M1,D00009,10,0,17:00,7.4353,4.7269,2.7114,2.5786,1.4928,0.8684
M1_D00009_17_30,M1,D00009,10,0,17:30,6.7652,4.2466,2.4675,2.4115,1.4746,0.731
M1_D00009_18_00,M1,D00009,10,0,18:00,6.4636,4.1759,2.2999,2.3443,1.5996,0.5944
