id,transformers,date_id,month,is_weekend,time,L1,L2,L3,L4,L5,L6,y
M1_D00003_00_00,M1,D00003,4,0,0:00,16.4772,11.6558,4.4319999999999995,6.4635,4.3713,1.1885,9.7434
M1_D00003_00_30,M1,D00003,4,0,0:30,16.2091,11.8867,4.402,6.4639999999999995,4.6197,1.1879,9.955
M1_D00003_01_00,M1,D00003,4,0,1:00,15.9085,11.5495,4.3407,6.5308,4.087,1.1272,10.1302
M1_D00003_01_30,M1,D00003,4,0,1:30,15.7744,11.3179,4.2491,6.0959,4.1756,1.0818,10.5524
M1_D00003_02_00,M1,D00003,4,0,2:00,15.6739,11.4603,4.3714,6.6315,4.2463,1.1573,10.377
M1_D00003_02_30,M1,D00003,4,0,2:30,15.874,11.0871,4.3868,6.0951,4.0337,1.2035,10.9036
M1_D00003_03_00,M1,D00003,4,0,3:00,16.6782,12.3662,4.1732,6.5309,4.3001,0.9902,10.6927
M1_D00003_03_30,M1,D00003,4,0,3:30,16.0752,11.6911,4.2032,6.0616,4.3176,1.1124,10.341
M1_D00003_04_00,M1,D00003,4,0,4:00,17.951,13.3264,4.4774,6.6313,4.7617,1.2795,10.2708
M1_D00003_04_30,M1,D00003,4,0,4:30,17.2815,12.722000000000001,4.5841,7.1337,4.9038,1.3403,10.4117
M1_D00003_05_00,M1,D00003,4,0,5:00,17.3483,12.118,5.1016,6.9329,4.7792,1.4624,10.3065
M1_D00003_05_30,M1,D00003,4,0,5:30,15.4387,9.985,5.3455,5.4253,3.216,1.5226,10.2359
M1_D00003_06_00,M1,D00003,4,0,6:00,16.3099,10.5715,5.94,5.1243,2.7189,1.5994,10.0246
M1_D00003_06_30,M1,D00003,4,0,6:30,16.075,9.9141,5.8945,5.7605,3.5711,1.5689,10.3412
M1_D00003_07_00,M1,D00003,4,0,7:00,14.1999,8.5995,5.6046,5.4257,3.1985,1.645,10.4467
M1_D00003_07_30,M1,D00003,4,0,7:30,11.7886,6.3964,5.3761,5.0909,3.0565,1.6295,9.9898
M1_D00003_08_00,M1,D00003,4,0,8:00,7.3683,4.4957,2.6806,4.2872,2.5234,1.2032,9.6029
M1_D00003_08_30,M1,D00003,4,0,8:30,5.7943,3.1096,2.3912,4.2875,2.737,1.0817,9.9541
M1_D00003_09_00,M1,D00003,4,0,9:00,2.3105,-0.6747,2.7113,3.4499,1.8303,1.1735,10.4115
M1_D00003_09_30,M1,D00003,4,0,9:30,-5.2906,-8.4043,3.2136,3.8851,2.4345,1.4466,10.4824
M1_D00003_10_00,M1,D00003,4,0,10:00,-7.5011,-10.5712,3.2294,4.9231,2.9317,1.3708,10.3064
M1_D00003_10_30,M1,D00003,4,0,10:30,-9.5109,-13.3431,3.5025,4.1869,2.3993,1.3401,10.1654
M1_D00003_11_00,M1,D00003,4,0,11:00,-12.7592,-16.2213,3.3658,4.4214,2.3634,1.2949,10.1303
M1_D00003_11_30,M1,D00003,4,0,11:30,-14.9363,-17.5538,2.6041,2.9139,1.4036,1.1728,10.0953
M1_D00003_12_00,M1,D00003,4,0,12:00,-14.0993,-16.8251,2.5586,3.0477,0.96,1.1425,10.2359
M1_D00003_12_30,M1,D00003,4,0,12:30,-14.8022,-17.0213,2.3761,3.986,1.706,1.2189,11.1851
M1_D00003_13_00,M1,D00003,4,0,13:00,-10.4488,-13.1301,2.6047,3.5167,1.8662,1.234,11.7132
M1_D00003_13_30,M1,D00003,4,0,13:30,-9.2095,-11.744000000000002,2.529,3.4831,1.5812,1.1425,12.1701
M1_D00003_14_00,M1,D00003,4,0,14:00,-9.3432,-12.3128,2.6351,3.0476,1.4042,1.2189,12.1346
M1_D00003_14_30,M1,D00003,4,0,14:30,-5.2242,-8.1374,2.6499,2.6795,1.2438,1.2486,12.2055
M1_D00003_15_00,M1,D00003,4,0,15:00,-4.6216,-7.4799,2.6652,2.7463,1.1907,1.3102,12.1351
M1_D00003_15_30,M1,D00003,4,0,15:30,-3.7506,-6.3603,2.4673,2.6122,1.2974,1.2644,12.2403
M1_D00003_16_00,M1,D00003,4,0,16:00,-0.9372,-3.8196,2.9085,2.5453,1.1726,1.1876,12.2051
M1_D00003_16_30,M1,D00003,4,0,16:30,1.2728,-2.1676,3.3051,2.2775,0.9777,1.2489,11.677999999999999
M1_D00003_17_00,M1,D00003,4,0,17:00,5.1913,1.4211,3.4266,2.1434,0.8534,0.99,11.9237
M1_D00003_17_30,M1,D00003,4,0,17:30,5.9613,2.878,3.2896,1.9089,0.7106,0.8985,10.9391
M1_D00003_18_00,M1,D00003,4,0,18:00,6.6649,3.8028,2.8332,1.7745,0.6754,0.9748,11.1502
M1_D00003_18_30,M1,D00003,4,0,18:30,7.301,4.4067,2.8634,1.6742,0.6221,0.7925,10.939
M1_D00003_19_00,M1,D00003,4,0,19:00,7.9043,4.8861,2.9092,1.6084,0.6041,0.7767,10.7631
M1_D00003_19_30,M1,D00003,4,0,19:30,7.8371,4.798,3.1379,1.6079,0.5153,0.762,10.5523
M1_D00003_20_00,M1,D00003,4,0,20:00,7.6361,4.6377,2.955,1.6414,0.5331,0.8377,10.6225
M1_D00003_20_30,M1,D00003,4,0,20:30,7.4016,4.3709,2.9248,1.6749,0.5508,0.9145,10.4469
M1_D00003_21_00,M1,D00003,4,0,21:00,8.038,5.5262,2.4829,1.4065,0.4443,0.7006,10.1655
M1_D00003_21_30,M1,D00003,4,0,21:30,8.6068,6.2722,2.3151,2.5119,1.3688,0.7312,10.2357
M1_D00003_22_00,M1,D00003,4,0,22:00,9.7793,7.1783,2.3764,3.4498,2.3280000000000003,0.7311,10.306
M1_D00003_22_30,M1,D00003,4,0,22:30,11.8894,9.737,2.1172,3.9856,2.5943,0.6702,9.9547
M1_D00003_23_00,M1,D00003,4,0,23:00,12.0228,9.8966,2.1324,4.2203,2.6476,0.6701,9.6027
M1_D00003_23_30,M1,D00003,4,0,23:30,11.2862,9.6658,2.0105,4.8229,3.7672,0.6245,9.3213
M1_D00004_00_00,M1,D00004,10,0,0:00,13.6644,10.6961,2.9546,5.3248,3.181,1.3862,10.7281
